segment;pas;paire;succes;attendu
S002;899;alpha->epsilon;1;0.8264908600539407
S002;911;alpha->epsilon;1;0.8878390734532154
S002;992;alpha->epsilon;1;0.8072066522944257
S002;1012;alpha->epsilon;1;0.8878390734532154
S002;1049;alpha->epsilon;1;0.7789125863622709
S002;1097;alpha->epsilon;1;0.8072066522944257
S002;1114;alpha->epsilon;1;0.848316342292246
S002;1136;alpha->epsilon;1;0.7789125863622709
S002;1140;alpha->epsilon;1;0.7254842615012107
S002;1162;alpha->epsilon;1;0.8878390734532154
S002;1164;alpha->epsilon;1;0.8878390734532154
S002;1166;alpha->epsilon;1;0.8878390734532154
S002;1219;alpha->epsilon;1;0.7254842615012107
S002;1235;alpha->epsilon;1;0.7789125863622709
S002;1244;alpha->epsilon;1;0.8878390734532154
S002;1350;alpha->epsilon;1;0.883030303030303
S003;28;alpha->epsilon;1;0.7378345498783455
S003;36;alpha->epsilon;1;0.8072066522944257
S003;56;alpha->epsilon;1;0.8264908600539407
S003;79;alpha->epsilon;1;0.8072066522944257
S003;114;alpha->epsilon;1;0.7254842615012107
S003;142;alpha->epsilon;1;0.848316342292246
S003;205;alpha->epsilon;1;0.7789125863622709
S003;207;alpha->epsilon;1;0.7789125863622709
S003;209;alpha->epsilon;1;0.7789125863622709
S003;221;alpha->epsilon;1;0.883030303030303
S003;230;alpha->epsilon;1;0.8878390734532154
S003;240;alpha->epsilon;1;0.8878390734532154
S003;291;alpha->epsilon;1;0.7254842615012107
S003;324;alpha->epsilon;1;0.848316342292246
S003;367;alpha->epsilon;1;0.848316342292246
S003;387;alpha->epsilon;1;0.8264908600539407
S003;394;alpha->epsilon;1;0.7789125863622709
S003;396;alpha->epsilon;1;0.7789125863622709
S003;398;alpha->epsilon;1;0.7789125863622709
S003;432;alpha->epsilon;1;0.8072066522944257
S003;438;alpha->epsilon;1;0.848316342292246
S003;458;alpha->epsilon;1;0.883030303030303
S003;488;alpha->epsilon;0;0.883030303030303
S003;507;alpha->epsilon;1;0.7789125863622709
S003;514;alpha->epsilon;1;0.7254842615012107
S003;531;alpha->epsilon;1;0.883030303030303
S003;584;alpha->epsilon;1;0.7378345498783455
S003;602;alpha->epsilon;1;0.8878390734532154
S003;633;alpha->epsilon;1;0.8878390734532154
S003;662;alpha->epsilon;1;0.848316342292246
S003;678;alpha->epsilon;1;0.8878390734532154
S003;682;alpha->epsilon;0;0.883030303030303
S003;714;alpha->epsilon;0;0.7254842615012107
S003;730;alpha->epsilon;1;0.7789125863622709
S003;738;alpha->epsilon;1;0.7254842615012107
S003;781;alpha->epsilon;1;0.8072066522944257
S003;792;alpha->epsilon;0;0.848316342292246
S003;839;alpha->epsilon;1;0.7378345498783455
S003;845;alpha->epsilon;0;0.8072066522944257
S003;853;alpha->epsilon;0;0.848316342292246
S003;880;alpha->epsilon;1;0.8072066522944257
S003;903;alpha->epsilon;1;0.883030303030303
S003;906;alpha->epsilon;1;0.883030303030303
S003;912;alpha->epsilon;1;0.7789125863622709
S003;971;alpha->epsilon;1;0.7378345498783455
S003;973;alpha->epsilon;1;0.7378345498783455
S003;976;alpha->epsilon;1;0.8072066522944257
S003;992;alpha->epsilon;1;0.8072066522944257
S003;1019;alpha->epsilon;1;0.8264908600539407
S003;1025;alpha->epsilon;1;0.7789125863622709
S003;1028;alpha->epsilon;1;0.8264908600539407
S003;1111;alpha->epsilon;1;0.7789125863622709
S003;1116;alpha->epsilon;1;0.7254842615012107
S003;1118;alpha->epsilon;1;0.7789125863622709
S003;1185;alpha->epsilon;1;0.7254842615012107
S003;1235;alpha->epsilon;1;0.7378345498783455
S003;1243;alpha->epsilon;1;0.7378345498783455
S003;1352;alpha->epsilon;1;0.7378345498783455
S003;1354;alpha->epsilon;1;0.8072066522944257
S003;1385;alpha->epsilon;1;0.8264908600539407
S004;59;alpha->epsilon;0;0.7378345498783455
S004;77;alpha->epsilon;0;0.8072066522944257
S004;82;alpha->epsilon;0;0.8072066522944257
S004;92;alpha->epsilon;1;0.848316342292246
S004;147;alpha->epsilon;1;0.848316342292246
S004;186;alpha->epsilon;1;0.7254842615012107
S004;195;alpha->epsilon;1;0.7789125863622709
S004;197;alpha->epsilon;1;0.7789125863622709
S004;229;alpha->epsilon;1;0.7378345498783455
S004;233;alpha->epsilon;1;0.8072066522944257
S004;238;alpha->epsilon;1;0.7378345498783455
S004;247;alpha->epsilon;1;0.848316342292246
S004;273;alpha->epsilon;1;0.8264908600539407
S004;289;alpha->epsilon;1;0.8264908600539407
S004;338;alpha->epsilon;1;0.8072066522944257
