segment;pas;succes;attendu
S001;137;1;0.7940379403794038
S001;345;1;0.7961011591148578
S001;971;1;0.7600479904019196
S001;1215;1;0.7600479904019196
S001;1216;1;0.7600479904019196
S002;151;0;0.7751256281407035
S002;152;0;0.7751256281407035
S002;153;0;0.7751256281407035
S002;592;0;0.5973377703826955
S002;593;0;0.5973377703826955
S002;594;0;0.7751256281407035
S002;1054;1;0.5091649694501018
S002;1055;1;0.5091649694501018
S002;1056;1;0.6260229132569558
S002;1336;1;0.6081081081081081
S002;1337;1;0.6569037656903766
S003;81;1;0.39921722113502933
S003;158;1;0.7107142857142857
S003;168;1;0.7961011591148578
S003;924;1;0.7983870967741935
S003;995;1;0.49085365853658536
S003;996;1;0.5862619808306709
S003;1086;1;0.7600479904019196
S003;1087;1;0.7600479904019196
S003;1088;1;0.7600479904019196
S003;1388;1;0.7296996662958843
S003;1389;1;0.7296996662958843
S003;1390;1;0.7751256281407035
S003;1391;1;0.7751256281407035
S003;1392;1;0.7751256281407035
S003;1393;1;0.7751256281407035
S003;1394;1;0.7983870967741935
S004;6;1;0.7751256281407035
S004;133;1;0.7751256281407035
S004;249;0;0.5655172413793104
S004;611;0;0.7961011591148578
S004;612;0;0.7961011591148578
S004;794;1;0.7983870967741935
S004;811;1;0.7940379403794038
S004;812;1;0.7940379403794038
S004;978;1;0.5862619808306709
S004;979;1;0.7600479904019196
S004;1116;1;0.7600479904019196
S004;1125;1;0.23130841121495327
S004;1250;1;0.7961011591148578
S005;184;1;0.799367088607595
S005;185;1;0.799367088607595
S005;840;1;0.799367088607595
S005;1009;1;0.7940379403794038
S005;1010;1;0.7940379403794038
S006;15;1;0.7983870967741935
S006;16;1;0.7983870967741935
S006;134;1;0.799367088607595
S006;135;0;0.799367088607595
S006;776;1;0.799367088607595
S006;777;1;0.799367088607595
S006;778;1;0.799367088607595
S006;860;1;0.5862619808306709
S006;861;1;0.5862619808306709
S006;1184;0;0.7600479904019196
S006;1237;1;0.6260229132569558
S006;1238;0;0.7751256281407035
S006;1239;0;0.7751256281407035
S007;11;1;0.7961011591148578
S007;12;1;0.7961011591148578
S007;75;1;0.7961011591148578
S007;76;1;0.7961011591148578
S007;77;1;0.7961011591148578
S007;78;1;0.7961011591148578
S007;79;1;0.7961011591148578
S007;80;1;0.7961011591148578
S007;94;1;0.6631376323387873
S007;95;1;0.6631376323387873
S007;96;1;0.799367088607595
S007;97;1;0.799367088607595
S007;116;0;0.18627450980392157
S007;117;0;0.24356077722548578
S007;182;1;0.799367088607595
S007;183;1;0.799367088607595
S007;295;0;0.7107142857142857
S007;296;0;0.7600479904019196
S007;414;0;0.5095541401273885
S007;415;0;0.6260229132569558
S007;463;1;0.7600479904019196
S007;464;1;0.7961011591148578
S007;465;1;0.7961011591148578
S007;515;1;0.7983870967741935
S007;806;0;0.5973377703826955
S007;941;1;0.7983870967741935
S007;942;1;0.7983870967741935
S007;943;1;0.7983870967741935
S007;1018;1;0.7107142857142857
S007;1142;1;0.7296996662958843
S007;1143;1;0.7296996662958843
S007;1144;1;0.7751256281407035
S007;1145;1;0.7751256281407035
S007;1158;0;0.272
S007;1159;0;0.39921722113502933
S007;1384;1;0.5862619808306709
S007;1385;1;0.7600479904019196
S007;1386;1;0.7600479904019196
S008;22;1;0.4186746987951807
S008;23;1;0.49085365853658536
S008;24;1;0.7600479904019196
S008;25;1;0.7600479904019196
