segment;pas;appel;succes;attendu
S003;573;F06->alpha;1;0.8729591836734694
S003;592;F06->alpha;1;0.8600405679513184
S003;688;F06->alpha;1;0.8821292775665399
S003;701;F06->alpha;1;0.8155067725361981
S003;736;F06->alpha;1;0.8821292775665399
S003;738;F06->alpha;0;0.9254345837145471
S003;743;F06->alpha;0;0.7740076824583867
S003;745;F06->alpha;0;0.8087748344370861
S003;818;F06->alpha;1;0.8729591836734694
S003;895;F06->alpha;1;0.8662116040955632
S003;910;F06->alpha;1;0.9102040816326531
S003;959;F06->alpha;1;0.7933884297520661
S003;961;F06->alpha;1;0.7933884297520661
S003;980;F06->alpha;1;0.8362989323843416
S003;1029;F06->alpha;0;0.8401486988847584
S003;1031;F06->alpha;0;0.9223826714801444
S003;1033;F06->alpha;0;0.8656410256410256
S003;1074;F06->alpha;1;0.9015025041736227
S003;1152;F06->alpha;0;0.8245518739815317
S003;1197;F06->alpha;0;0.910212474297464
S003;1329;F06->alpha;1;0.7658371040723982
S003;1369;F06->alpha;1;0.8245518739815317
S004;18;F06->alpha;0;0.8577319587628865
S004;39;F06->alpha;1;0.8729591836734694
S004;45;F06->alpha;1;0.8361522198731501
S004;123;F06->alpha;1;0.8662116040955632
S004;144;F06->alpha;1;0.910212474297464
S004;146;F06->alpha;1;0.9587443946188341
S004;187;F06->alpha;1;0.9133202742409402
S004;232;F06->alpha;1;0.9254345837145471
S004;234;F06->alpha;1;0.8955916473317865
S004;236;F06->alpha;1;0.8973384030418251
S004;238;F06->alpha;1;0.9133202742409402
S004;285;F06->alpha;1;0.8185840707964602
S004;368;F06->alpha;1;0.7778489116517285
S004;381;F06->alpha;1;0.9254345837145471
S004;395;F06->alpha;1;0.8958333333333334
S004;466;F06->alpha;0;0.8662116040955632
S004;552;F06->alpha;1;0.8538095238095238
S004;665;F06->alpha;1;0.8287104622871047
S004;667;F06->alpha;1;0.8287104622871047
S004;799;F06->alpha;1;0.8729591836734694
S004;864;F06->alpha;1;0.8087748344370861
S004;919;F06->alpha;0;0.7658536585365854
S004;927;F06->alpha;0;0.8245518739815317
S004;929;F06->alpha;0;0.7684491978609626
S004;991;F06->alpha;1;0.9309173272933182
S004;1012;F06->alpha;1;0.8185840707964602
S004;1054;F06->alpha;1;0.7658536585365854
S004;1056;F06->alpha;1;0.8600405679513184
S004;1131;F06->alpha;0;0.8287104622871047
S004;1148;F06->alpha;0;0.7778489116517285
S004;1150;F06->alpha;1;0.8287104622871047
S004;1157;F06->alpha;1;0.8538095238095238
S004;1180;F06->alpha;0;0.7658371040723982
S004;1182;F06->alpha;0;0.7740076824583867
S004;1184;F06->alpha;0;0.7740076824583867
S004;1192;F06->alpha;1;0.8292228943694742
S004;1320;F06->alpha;1;0.9429280397022333
S004;1329;F06->alpha;1;0.8538095238095238
S004;1356;F06->alpha;1;0.9429280397022333
S005;22;F06->alpha;1;0.882808181315644
S005;35;F06->alpha;0;0.7740076824583867
S005;37;F06->alpha;0;0.8656410256410256
S005;51;F06->alpha;1;0.8729591836734694
S005;74;F06->alpha;1;0.8245518739815317
S005;122;F06->alpha;1;0.8662116040955632
S005;138;F06->alpha;1;0.7684491978609626
S005;140;F06->alpha;1;0.8155067725361981
S005;223;F06->alpha;0;0.8287104622871047
S005;262;F06->alpha;1;0.9309173272933182
S005;264;F06->alpha;1;0.895330112721417
S005;270;F06->alpha;0;0.9133202742409402
S005;272;F06->alpha;0;0.8873517786561265
S005;274;F06->alpha;0;0.7632211538461539
S005;296;F06->alpha;1;0.7778489116517285
S005;308;F06->alpha;1;0.8538095238095238
S005;326;F06->alpha;1;0.7530186608122942
S005;337;F06->alpha;1;0.9133202742409402
S005;358;F06->alpha;1;0.8292228943694742
S005;360;F06->alpha;1;0.8577319587628865
S005;396;F06->alpha;1;0.7658536585365854
S005;398;F06->alpha;1;0.7658536585365854
S005;414;F06->alpha;0;0.8087748344370861
S005;447;F06->alpha;1;0.8429319371727748
S005;449;F06->alpha;1;0.7632211538461539
S005;459;F06->alpha;1;0.8519480519480519
S005;516;F06->alpha;1;0.9015025041736227
S005;640;F06->alpha;1;0.8287104622871047
S005;694;F06->alpha;1;0.8245518739815317
S005;720;F06->alpha;1;0.7933884297520661
S005;722;F06->alpha;1;0.7933884297520661
S005;747;F06->alpha;1;0.7658536585365854
S005;795;F06->alpha;0;0.874251497005988
S005;916;F06->alpha;1;0.9587443946188341
S005;958;F06->alpha;1;0.8955916473317865
S005;963;F06->alpha;1;0.8349673202614379
S005;972;F06->alpha;1;0.7684491978609626
S005;974;F06->alpha;1;0.8155067725361981
S006;43;F06->alpha;0;0.7933884297520661
S006;86;F06->alpha;1;0.9254345837145471
S006;111;F06->alpha;0;0.882808181315644
S006;197;F06->alpha;1;0.7778489116517285
S006;199;F06->alpha;1;0.7778489116517285
S006;201;F06->alpha;1;0.7778489116517285
S006;220;F06->alpha;1;0.8600405679513184
S006;258;F06->alpha;1;0.910212474297464
S006;260;F06->alpha;1;0.8577319587628865
S006;344;F06->alpha;1;0.9015025041736227
S006;406;F06->alpha;1;0.7530186608122942
S006;445;F06->alpha;0;0.8600405679513184
S006;447;F06->alpha;0;0.8185840707964602
S006;449;F06->alpha;0;0.8155067725361981
S006;460;F06->alpha;1;0.7778489116517285
S006;462;F06->alpha;1;0.7778489116517285
S006;482;F06->alpha;1;0.882808181315644
S006;653;F06->alpha;1;0.882808181315644
S006;655;F06->alpha;1;0.8538095238095238
S006;667;F06->alpha;1;0.8254237288135593
S006;690;F06->alpha;1;0.8185840707964602
S006;718;F06->alpha;1;0.895330112721417
S006;725;F06->alpha;1;0.8292228943694742
S006;761;F06->alpha;0;0.8245518739815317
S006;763;F06->alpha;0;0.7684491978609626
S006;768;F06->alpha;1;0.8287104622871047
S006;806;F06->alpha;1;0.8600405679513184
S006;808;F06->alpha;1;0.7658536585365854
S006;849;F06->alpha;1;0.8087748344370861
S006;896;F06->alpha;1;0.910212474297464
S006;901;F06->alpha;1;0.9015025041736227
S006;940;F06->alpha;1;0.7778489116517285
S006;977;F06->alpha;1;0.9254345837145471
S006;979;F06->alpha;1;0.91792656587473
S006;981;F06->alpha;1;0.8449111470113085
S006;986;F06->alpha;1;0.910212474297464
S006;988;F06->alpha;1;0.8292228943694742
S006;990;F06->alpha;1;0.8292228943694742
S006;992;F06->alpha;1;0.7530186608122942
S006;1010;F06->alpha;1;0.7658371040723982
S006;1131;F06->alpha;1;0.8292228943694742
S006;1133;F06->alpha;1;0.8577319587628865
S006;1135;F06->alpha;1;0.9469339622641509
S006;1167;F06->alpha;1;0.8155067725361981
S006;1174;F06->alpha;1;0.8538095238095238
S006;1194;F06->alpha;1;0.8705501618122977
S006;1196;F06->alpha;1;0.9133202742409402
S006;1198;F06->alpha;1;0.7962962962962963
S006;1217;F06->alpha;1;0.9254345837145471
S006;1228;F06->alpha;1;0.9400749063670412
S006;1341;F06->alpha;1;0.9108159392789373
S006;1343;F06->alpha;1;0.8600405679513184
S007;149;F06->alpha;1;0.8292228943694742
S007;154;F06->alpha;1;0.9133202742409402
S007;248;F06->alpha;1;0.9015025041736227
S007;253;F06->alpha;1;0.9254345837145471
S007;255;F06->alpha;0;0.9133202742409402
S007;257;F06->alpha;1;0.8873517786561265
S007;259;F06->alpha;1;0.7632211538461539
S007;281;F06->alpha;1;0.882808181315644
S007;288;F06->alpha;1;0.8449111470113085
S007;377;F06->alpha;1;0.8656410256410256
S007;382;F06->alpha;1;0.910212474297464
S007;384;F06->alpha;1;0.9254345837145471
S007;386;F06->alpha;1;0.8547008547008547
S007;473;F06->alpha;1;0.8155067725361981
S007;483;F06->alpha;1;0.8538095238095238
S007;491;F06->alpha;1;0.882808181315644
S007;528;F06->alpha;1;0.9015025041736227
S007;571;F06->alpha;1;0.9015025041736227
S007;600;F06->alpha;1;0.7740076824583867
S007;619;F06->alpha;1;0.8729591836734694
S007;647;F06->alpha;1;0.7684491978609626
S007;670;F06->alpha;1;0.8449111470113085
S007;865;F06->alpha;1;0.8547008547008547
S007;915;F06->alpha;1;0.9400749063670412
S007;924;F06->alpha;1;0.8600405679513184
S007;976;F06->alpha;1;0.8155067725361981
S007;1059;F06->alpha;1;0.8245518739815317
S007;1099;F06->alpha;0;0.8538095238095238
S007;1110;F06->alpha;0;0.7778489116517285
S007;1185;F06->alpha;0;0.874251497005988
S007;1372;F06->alpha;1;0.8958333333333334
S007;1374;F06->alpha;1;0.910212474297464
S008;89;F06->alpha;1;0.8087748344370861
S008;91;F06->alpha;1;0.8656410256410256
S008;93;F06->alpha;1;0.8292228943694742
S008;177;F06->alpha;1;0.895330112721417
S008;219;F06->alpha;1;0.7530186608122942
S008;265;F06->alpha;1;0.7658371040723982
S008;331;F06->alpha;1;0.7933884297520661
S008;360;F06->alpha;0;0.8472222222222222
S008;362;F06->alpha;1;0.8519480519480519
S008;370;F06->alpha;1;0.7530186608122942
S008;424;F06->alpha;0;0.9108159392789373
S008;435;F06->alpha;0;0.9429280397022333
S008;469;F06->alpha;1;0.8449111470113085
S008;478;F06->alpha;1;0.8185840707964602
S008;503;F06->alpha;1;0.9133202742409402
S008;505;F06->alpha;1;0.7962962962962963
S008;542;F06->alpha;1;0.7684491978609626
S008;592;F06->alpha;1;0.8705501618122977
S008;629;F06->alpha;1;0.8973384030418251
S008;662;F06->alpha;0;0.8245518739815317
S008;704;F06->alpha;1;0.9469339622641509
S008;706;F06->alpha;1;0.874251497005988
S008;772;F06->alpha;0;0.7778489116517285
S008;779;F06->alpha;1;0.7778489116517285
S008;791;F06->alpha;1;0.8287104622871047
S008;822;F06->alpha;0;0.7530186608122942
S008;858;F06->alpha;1;0.8185840707964602
S008;915;F06->alpha;1;0.8538095238095238
S008;948;F06->alpha;1;0.7962962962962963
S008;957;F06->alpha;1;0.8349673202614379
S008;959;F06->alpha;1;0.8185840707964602
S008;961;F06->alpha;1;0.8185840707964602
S008;969;F06->alpha;1;0.8245518739815317
S008;1004;F06->alpha;0;0.8955916473317865
S008;1006;F06->alpha;1;0.8782742681047766
S008;1045;F06->alpha;0;0.7684491978609626
S008;1047;F06->alpha;0;0.7684491978609626
S008;1208;F06->alpha;1;0.7530186608122942
