segment;pas;capteur;succes;attendu
S005;563;alpha;0;0.03917267314321529
S005;567;alpha;0;0.28258221680876977
S005;572;alpha;1;0.37459434399629116
S005;573;alpha;1;0.28258221680876977
S005;574;alpha;1;0.28258221680876977
S005;575;alpha;0;0.454396504642272
S005;580;alpha;1;0.454396504642272
S005;581;alpha;0;0.11368277739959155
S005;586;alpha;0;0.37459434399629116
S005;589;alpha;0;0.03007751937984496
S005;593;alpha;1;0.16335227272727273
S005;594;alpha;0;0.454396504642272
S005;645;alpha;1;0.454396504642272
S005;646;alpha;0;0.22510334460729048
S005;650;alpha;1;0.37459434399629116
S005;651;alpha;1;0.16335227272727273
S005;652;alpha;0;0.03917267314321529
S005;654;alpha;0;0.004512635379061372
S005;681;alpha;0;0.16335227272727273
S005;685;alpha;0;0.06172049888071634
S005;698;alpha;0;0.16335227272727273
S005;738;alpha;1;0.28258221680876977
S005;739;alpha;1;0.37459434399629116
S005;740;alpha;1;0.28258221680876977
S005;741;alpha;1;0.37459434399629116
S005;742;alpha;0;0.22510334460729048
S005;770;alpha;0;0.005474452554744526
S005;794;alpha;0;0.454396504642272
S005;867;alpha;0;0.28258221680876977
S005;872;alpha;0;0.16335227272727273
S005;876;alpha;0;0.454396504642272
S005;881;alpha;0;0.37459434399629116
S005;887;alpha;1;0.37459434399629116
S005;888;alpha;0;0.08973935994721215
S005;892;alpha;1;0.16335227272727273
S005;893;alpha;1;0.11368277739959155
S005;894;alpha;0;0.008179339594062406
S005;929;alpha;0;0.454396504642272
S005;931;alpha;0;0.16335227272727273
S005;937;alpha;0;0.05497957901350927
S005;948;alpha;0;0.11368277739959155
S005;954;alpha;0;0.454396504642272
S005;956;alpha;1;0.37459434399629116
S005;957;alpha;0;0.37459434399629116
S005;959;alpha;1;0.22510334460729048
S005;960;alpha;0;0.06172049888071634
S005;981;alpha;0;0.37459434399629116
S005;984;alpha;0;0.454396504642272
S005;986;alpha;0;0.01712014674411495
S006;85;alpha;1;0.22510334460729048
S006;86;alpha;1;0.22510334460729048
S006;87;alpha;0;0.16335227272727273
S006;144;alpha;0;0.454396504642272
S006;146;alpha;0;0.22510334460729048
S006;148;alpha;0;0.16335227272727273
S006;165;alpha;0;0.16335227272727273
S006;213;alpha;0;0.454396504642272
S006;215;alpha;0;0.454396504642272
