source;famille;capteur;issue;designe;n;obs;ref;z;segments
repli;F01;alpha;retour27;False;106;0.7735849056603774;0.7636644291275738;0.25016871099944105;38
repli;F01;beta;retour27;False;106;0.09433962264150944;0.13877238133209907;-1.6066305843296205;38
repli;F01;gamma;retour27;False;106;0.1509433962264151;0.1755812314964343;-0.7418060740700059;38
repli;F01;delta;retour27;False;106;0.1792452830188679;0.1802296780612119;-0.038825885736024746;38
repli;F01;epsilon;retour27;False;106;0.39622641509433965;0.40002770336902693;-0.08283415575200316;38
repli;F01;;cont10;False;106;0.8207547169811321;0.8175291813351863;0.08759821839666715;38
repli;F02;alpha;retour27;False;89;0.8651685393258427;0.7920941893326143;2.0106352367155265;39
repli;F02;beta;retour27;False;89;0.1797752808988764;0.1755623492050143;0.11285272797498075;39
repli;F02;gamma;retour27;False;89;0.19101123595505617;0.19810676420491236;-0.19137470960489472;39
repli;F02;delta;retour27;False;89;0.20224719101123595;0.1802644803221504;0.879864863166523;39
repli;F02;epsilon;retour27;False;89;0.42696629213483145;0.39411112384041636;0.6430298936341253;39
repli;F02;;cont10;False;89;0.8539325842696629;0.7960004652509205;1.5270605368204693;39
repli;F03;alpha;retour27;False;109;0.7981651376146789;0.7731337344630812;0.6767890336193614;39
repli;F03;beta;retour27;False;109;0.13761467889908258;0.15699603065981382;-0.6547433310774948;39
repli;F03;gamma;retour27;False;109;0.1834862385321101;0.1781994813015838;0.1540690686177738;39
repli;F03;delta;retour27;False;109;0.13761467889908258;0.13453828449943012;0.14230093869757268;39
repli;F03;epsilon;retour27;False;109;0.4036697247706422;0.38752602564633;0.36590698852353487;39
repli;F03;;cont10;False;109;0.8073394495412844;0.8062864535928859;0.028509091426696703;39
repli;F04;alpha;retour27;False;75;0.72;0.7821339092163875;-1.2297810982510269;39
repli;F04;beta;retour27;False;75;0.17333333333333334;0.16768239673776078;0.15596179984279407;39
repli;F04;gamma;retour27;False;75;0.16;0.19471958310085238;-0.9090273792011773;39
repli;F04;delta;retour27;False;75;0.13333333333333333;0.17833581847247865;-1.5886797466541855;39
repli;F04;epsilon;retour27;False;75;0.37333333333333335;0.4144065312619479;-0.7235743641917877;39
repli;F04;;cont10;False;75;0.8133333333333334;0.7996182315889674;0.30364212273922764;39
repli;F05;alpha;retour27;False;89;0.7752808988764045;0.775753298204642;-0.010740402934224498;41
repli;F05;beta;retour27;False;89;0.10112359550561797;0.11995179625720928;-0.6445317057583866;41
repli;F05;gamma;retour27;False;89;0.10112359550561797;0.15293181755754354;-1.6222133558548983;41
repli;F05;delta;retour27;False;89;0.11235955056179775;0.11599298297595545;-0.14817992723139717;41
repli;F05;epsilon;retour27;False;89;0.4157303370786517;0.3846596097002645;0.6088244691166397;41
repli;F05;;cont10;False;89;0.8539325842696629;0.7940541464350567;1.6485945586658663;41
repli;F06;alpha;retour27;True;86;0.7558139534883721;0.7895958878593277;-0.747794113090623;37
repli;F06;beta;retour27;False;86;0.10465116279069768;0.1298022802325337;-1.1530515617062156;37
repli;F06;gamma;retour27;False;86;0.11627906976744186;0.17140696176698283;-1.9509554626831638;37
repli;F06;delta;retour27;False;86;0.10465116279069768;0.10204097349345666;0.11992429926753653;37
repli;F06;epsilon;retour27;False;86;0.38372093023255816;0.39779941851599115;-0.287831619591132;37
repli;F06;alpha;cont10;True;86;0.8488372093023255;0.7938443811243756;1.3661079519984276;37
repli;F07;alpha;retour27;False;39;0.7692307692307693;0.7576356534347147;0.1863169089567804;27
repli;F07;beta;retour27;False;39;0.20512820512820512;0.180175511692651;0.4312431407670886;27
repli;F07;gamma;retour27;False;39;0.20512820512820512;0.20068163956210505;0.08116155298873051;27
repli;F07;delta;retour27;False;39;0.1794871794871795;0.1673417954006058;0.23925900043989512;27
repli;F07;epsilon;retour27;False;39;0.4358974358974359;0.43286498752967834;0.04023730558076825;27
repli;F07;;cont10;False;39;0.8461538461538461;0.8115749222377794;0.6024048223972002;27
repli;F08;alpha;retour27;False;79;0.7215189873417721;0.7653007802379134;-0.8841154722933199;35
repli;F08;beta;retour27;False;79;0.21518987341772153;0.14728486753348502;1.7002586408461322;35
repli;F08;gamma;retour27;False;79;0.22784810126582278;0.1719497562972675;1.357841362800363;35
repli;F08;delta;retour27;False;79;0.189873417721519;0.1286982761173526;2.1764995572401715;35
repli;F08;epsilon;retour27;False;79;0.35443037974683544;0.40182452838122645;-0.9136476240244199;35
repli;F08;;cont10;False;79;0.759493670886076;0.8123772471257347;-1.129454935510801;35
repli;F09;alpha;retour27;False;95;0.7368421052631579;0.7811905645828628;-1.0030292936067544;43
repli;F09;beta;retour27;False;95;0.08421052631578947;0.13245395461185838;-1.7870137231672767;43
repli;F09;gamma;retour27;False;95;0.09473684210526316;0.17327473670335738;-2.6188782246778817;43
repli;F09;delta;retour27;False;95;0.06315789473684211;0.14005428883878698;-2.9647828431912027;43
repli;F09;epsilon;retour27;False;95;0.3894736842105263;0.385679717172937;0.07782289955730273;43
repli;F09;;cont10;False;95;0.7578947368421053;0.805244691632636;-1.1837011717633066;43
repli;F10;alpha;retour27;False;46;0.782608695652174;0.7773380598274613;0.08719867357768982;29
repli;F10;beta;retour27;False;46;0.1956521739130435;0.1490624992084935;0.9185447001842884;29
repli;F10;gamma;retour27;False;46;0.2391304347826087;0.1769312334476347;1.0104869181336948;29
repli;F10;delta;retour27;False;46;0.10869565217391304;0.1258496347677646;-0.4705701005480186;29
repli;F10;epsilon;retour27;False;46;0.45652173913043476;0.39817527983231615;0.8401127015088505;29
repli;F10;;cont10;False;46;0.7391304347826086;0.8227451576427645;-1.2583546132460108;29
repli;F11;alpha;retour27;False;88;0.7954545454545454;0.7718902228638956;0.5632775915473106;43
repli;F11;beta;retour27;False;88;0.09090909090909091;0.13800274429171996;-1.6958112748516037;43
repli;F11;gamma;retour27;True;88;0.13636363636363635;0.15719658241160592;-0.6108970575868503;43
repli;F11;delta;retour27;False;88;0.07954545454545454;0.10533303249855513;-1.119353501282333;43
repli;F11;epsilon;retour27;False;88;0.2727272727272727;0.3885720349824411;-2.447280657835751;43
repli;F11;gamma;cont10;True;88;0.8068181818181818;0.7795139893048856;0.689078556507736;43
repli;F12;alpha;retour27;False;54;0.6851851851851852;0.7704551006965957;-1.3854539733458378;31
repli;F12;beta;retour27;False;54;0.05555555555555555;0.168129719682288;-3.510618780023575;31
repli;F12;gamma;retour27;False;54;0.09259259259259259;0.19792354737877205;-2.6920558782915913;31
repli;F12;delta;retour27;False;54;0.14814814814814814;0.15679167103163932;-0.26882633522274657;31
repli;F12;epsilon;retour27;False;54;0.2777777777777778;0.4142895576209553;-2.3067664381952837;31
repli;F12;;cont10;False;54;0.8703703703703703;0.7971631852381577;1.6739217105786923;31
repli;F13;alpha;retour27;False;84;0.75;0.7664816634019387;-0.3583456414851752;40
repli;F13;beta;retour27;False;84;0.19047619047619047;0.14740469996639347;1.3560921596035598;40
repli;F13;gamma;retour27;False;84;0.19047619047619047;0.17668457093187842;0.373326637244793;40
repli;F13;delta;retour27;False;84;0.20238095238095238;0.16333797534650704;1.174359546725294;40
repli;F13;epsilon;retour27;False;84;0.38095238095238093;0.393553974554324;-0.24279049150157583;40
repli;F13;;cont10;False;84;0.8690476190476191;0.8136266768981741;1.5348161848194928;40
repli;F14;alpha;retour27;False;99;0.7676767676767676;0.7766395724422127;-0.2162873035299721;42
repli;F14;beta;retour27;False;99;0.1414141414141414;0.16808243086509908;-0.8551787650438143;42
repli;F14;gamma;retour27;False;99;0.18181818181818182;0.20331871656581324;-0.6038054366054422;42
