famille;capteur;h;issue;z_A1;z_A2;ecart_A1;ecart_A2;n_A1;n_A2;designe
F01;alpha;1;bas;-1.9176817049416952;-1.0637190591356511;-0.011706903868342283;-0.00886103912001394;1247;631;False
F01;alpha;1;rap;1.0349615258688738;1.273986082471159;0.013559567054449597;0.02388988984984639;1247;631;False
F01;alpha;3;bas;-4.323880017875011;-4.5692040787284665;-0.03748347641277928;-0.05072074666944037;1245;631;False
F01;alpha;3;rap;2.3117549450523875;1.8363494759139332;0.026706781759398304;0.029496006830350082;1245;631;False
F01;alpha;9;bas;-4.909111567812888;-5.407477923251917;-0.0617472409806891;-0.09204991482157758;1240;626;False
F01;alpha;9;rap;1.9816464602157586;0.103173632363046;0.019780683438409535;0.0014107057947405873;1240;626;False
F01;alpha;27;bas;-2.6253363541595496;-1.751320393669736;-0.029696463539805568;-0.028743731236531834;1222;625;False
F01;alpha;27;rap;1.0600648078237418;-0.021488678522229517;0.011292781708880921;-0.0003301445334943395;1222;625;False
F01;beta;1;bas;1.397486986050756;-1.3299309970950275;0.007549839974197173;-0.008311852806540117;1247;631;False
F01;beta;1;rap;0.20114279732207335;-0.20856924503790886;0.002800067492571405;-0.0041226094175025535;1247;631;False
F01;beta;3;bas;2.1025536863556655;-0.9280287180749309;0.015653299734275105;-0.008819396501671224;1245;631;False
F01;beta;3;rap;0.8327408583551668;-0.5866580612307153;0.011286400994037162;-0.011356500992222338;1245;631;False
F01;beta;9;bas;-1.5850670519356607;-1.579806452891335;-0.013842789858486337;-0.0195951837237544;1240;626;False
F01;beta;9;rap;1.3757896245981736;1.2702915736435387;0.017556663867101478;0.023425651318071117;1240;626;False
F01;beta;27;bas;-1.3540351762952227;-1.8071878172239402;-0.015880948448968767;-0.0294136767542887;1222;625;False
F01;beta;27;rap;2.864846126038226;0.805590117860958;0.03380609068914022;0.013425961996751357;1222;625;False
F01;delta;1;bas;1.30604473990764;-0.29534959945662287;0.005814488282272099;-0.0019227845884505674;1247;631;False
F01;delta;1;rap;0.3769120793385037;0.48071905082446936;0.0053035666481982095;0.009493866720896445;1247;631;False
F01;delta;3;bas;2.0219842709621156;-0.7021563908188939;0.012828747150106488;-0.006199705965896991;1245;631;False
F01;delta;3;rap;0.35540320481861065;-0.13825108304327113;0.004960066794085942;-0.002695978705933917;1245;631;False
F01;delta;9;bas;2.092614882268821;1.0357107757146446;0.016145122011694043;0.012145149319948036;1240;626;False
F01;delta;9;rap;-0.20711431969041033;0.9862207204338728;-0.0028047170676197214;0.018873704410113407;1240;626;False
F01;delta;27;bas;-0.08815074562823245;-1.0315893407636898;-0.0008334584197159362;-0.012875282406516532;1222;625;False
