bloc;id;description;n;segments;valeur;reference;p;verdict
4;04.F26.delta.rap9;appel F26->delta : rapprochement en 9 pas;2299;50.0;0.5276;0.541;0.1820499611479343;rang 9/36
4;04.F26.delta.bas27;appel F26->delta : bascule en 27 pas;2267;50.0;0.2069;0.2065;0.9616269545551628;rang 33/36
4;04.F26.delta.rap27;appel F26->delta : rapprochement en 27 pas;2267;50.0;0.5487;0.5545;0.5502607191548248;rang 22/36
5;05.1;nombre d'extrêmes par segment vs surrogat mélangé;2918;50.0;58.36;77.4628;;5/50 segments au-dessus
5;05.2.1;extrême suivi d'un extrême de même type en 1 pas vs surrogat;2918;50.0;0.4873;0.4892;;
5;05.2.3;extrême suivi d'un extrême de même type en 3 pas vs surrogat;2918;50.0;0.6621;0.6722;;
5;05.2.5;extrême suivi d'un extrême de même type en 5 pas vs surrogat;2918;50.0;0.7279;0.7411;;
5;05.2.10;extrême suivi d'un extrême de même type en 10 pas vs surrogat;2918;50.0;0.8019;0.8149;;
5;05.2.30;extrême suivi d'un extrême de même type en 30 pas vs surrogat;2918;50.0;0.877;0.8922;;
5;05.repli.F06.alpha;extrême dont la famille (repli) appelle alpha : retour sous/sur le niveau en 27 pas;86;37.0;0.7558;0.7896;0.4545843535071401;
5;05.repli.F11.gamma;extrême dont la famille (repli) appelle gamma : retour sous/sur le niveau en 27 pas;88;43.0;0.1364;0.1572;0.5412677329173863;
5;05.repli.F20.beta;extrême dont la famille (repli) appelle beta : retour sous/sur le niveau en 27 pas;40;30.0;0.2;0.1169;0.1412711074960512;
5;05.repli.F26.delta;extrême dont la famille (repli) appelle delta : retour sous/sur le niveau en 27 pas;94;44.0;0.1596;0.1417;0.5111041268006716;
5;05.repli.F33.epsilon;extrême dont la famille (repli) appelle epsilon : retour sous/sur le niveau en 27 pas;100;42.0;0.46;0.3991;0.2094487103063557;
5;05.symbole.F06.alpha;extrême dont la famille (symbole) appelle alpha : retour sous/sur le niveau en 27 pas;117;44.0;0.8291;0.79;0.2620281430353328;
5;05.symbole.F11.gamma;extrême dont la famille (symbole) appelle gamma : retour sous/sur le niveau en 27 pas;62;36.0;0.2097;0.1804;0.5464503713311044;
5;05.symbole.F20.beta;extrême dont la famille (symbole) appelle beta : retour sous/sur le niveau en 27 pas;53;35.0;0.2075;0.1386;0.1113260223581431;
5;05.symbole.F26.delta;extrême dont la famille (symbole) appelle delta : retour sous/sur le niveau en 27 pas;84;38.0;0.2262;0.1782;0.0628603789404596;
5;05.symbole.F33.epsilon;extrême dont la famille (symbole) appelle epsilon : retour sous/sur le niveau en 27 pas;112;38.0;0.4375;0.3749;0.1577364242673923;
6;06.casc.alpha.epsilon;bascule de alpha vers le côté opposé à epsilon : epsilon bascule en 27 pas;2948;50.0;0.8341;0.8054;2.338478739489314e-05;
