segment;pas;capteur;longueur;cote;rang_segment;collage_replie;capteur_appele_par_collage;capteur_appele_par_longueur
S001;31;alpha;31;+;1;31;;
S001;33;alpha;2;-;2;58;;
S001;38;alpha;5;+;3;77;;
S001;41;epsilon;41;+;1;41;;
S001;45;epsilon;4;-;2;33;;
S001;46;epsilon;1;+;3;77;;
S001;55;gamma;55;+;1;55;;
S001;56;gamma;1;-;2;43;delta;
S001;58;gamma;2;+;3;51;;
S001;60;beta;60;+;1;60;;
S001;61;beta;1;-;2;93;;
S001;62;alpha;24;-;4;104;;
S001;62;gamma;4;-;4;6;;
S001;63;alpha;1;+;5;25;;
S001;63;gamma;1;+;5;61;;
S001;63;beta;2;+;3;43;delta;
S001;64;beta;1;-;4;50;;
S001;65;beta;1;+;5;120;;
S001;67;beta;2;-;6;59;alpha;
S001;69;beta;2;+;7;84;delta;
S001;70;beta;1;-;8;79;;
S001;73;alpha;10;-;6;97;;
S001;74;gamma;11;-;6;15;;
S001;75;alpha;2;+;7;83;;
S001;75;gamma;1;+;7;24;;
S001;75;beta;5;+;9;33;;
S001;76;alpha;1;-;8;69;;
S001;76;beta;1;-;10;77;;
S001;77;alpha;1;+;9;56;;
S001;78;alpha;1;-;10;53;;
S001;80;epsilon;34;-;4;114;;
S001;80;gamma;5;-;8;118;;
S001;173;alpha;95;+;11;61;;
S001;182;epsilon;102;+;5;56;;
S001;197;alpha;24;-;12;28;;
S001;200;alpha;3;+;13;29;;
S001;201;gamma;121;+;9;11;;
S001;202;gamma;1;-;10;111;;
S001;203;gamma;1;+;11;95;;
S001;210;alpha;10;-;14;116;;
S001;210;gamma;7;-;12;68;alpha;
S001;212;gamma;2;+;13;47;;
S001;213;gamma;1;-;14;90;;
S001;216;gamma;3;+;15;14;;
S001;217;alpha;7;+;15;24;;
S001;218;alpha;1;-;16;114;;
S001;219;alpha;1;+;17;125;;
S001;225;alpha;6;-;18;113;;
S001;227;epsilon;45;-;6;57;;
S001;237;alpha;12;+;19;9;;
S001;237;epsilon;10;+;7;122;;
S001;240;alpha;3;-;20;93;;
S001;240;epsilon;3;-;8;80;;
S001;242;alpha;2;+;21;43;delta;
S001;242;epsilon;2;+;9;40;;
S001;244;beta;168;+;11;79;;
S001;245;beta;1;-;12;29;;
S001;246;alpha;4;-;22;53;;
S001;246;epsilon;4;-;10;23;;
S001;248;alpha;2;+;23;24;;
S001;248;epsilon;2;+;11;105;;
S001;250;alpha;2;-;24;115;;
S001;250;epsilon;2;-;12;36;epsilon;
S001;257;alpha;7;+;25;14;;
S001;257;epsilon;7;+;13;113;;
S001;257;beta;12;+;13;118;;
S001;258;alpha;1;-;26;14;;
S001;258;epsilon;1;-;14;115;;
S001;258;beta;1;-;14;38;;
S001;259;alpha;1;+;27;14;;
S001;259;epsilon;1;+;15;8;;
S001;259;beta;1;+;15;0;;
S001;266;alpha;7;-;28;20;beta;
S001;266;epsilon;7;-;16;87;;
S001;267;gamma;51;-;16;54;;
S001;267;beta;8;-;16;8;;
S001;271;gamma;4;+;17;36;epsilon;
S001;273;gamma;2;-;18;108;gamma;
S001;293;alpha;27;+;29;122;;gamma
S001;297;alpha;4;-;30;81;;
S001;303;alpha;6;+;31;54;;
S001;305;epsilon;39;+;17;103;;
S001;305;beta;38;+;17;76;;
S001;306;gamma;33;+;19;38;;
S001;308;gamma;2;-;20;1;;
S001;309;alpha;6;-;32;38;;
S001;309;epsilon;4;-;18;18;epsilon;
S001;309;beta;4;-;18;2;;
S001;316;alpha;7;+;33;6;;
S001;316;epsilon;7;+;19;60;;
S001;316;beta;7;+;19;27;gamma;
S001;317;beta;1;-;20;17;alpha;
S001;318;alpha;2;-;34;62;;
S001;318;epsilon;2;-;20;94;;
S001;332;alpha;14;+;35;118;;
S001;332;epsilon;14;+;21;16;;
S001;333;gamma;25;+;21;125;;
S001;333;beta;16;+;21;65;;
S001;334;gamma;1;-;22;108;gamma;
S001;334;beta;1;-;22;16;;
S001;335;gamma;1;+;23;65;;
S001;335;beta;1;+;23;34;;
S001;351;delta;351;+;1;97;;
S001;385;alpha;53;-;36;42;;
S001;387;alpha;2;+;37;41;;
S001;394;alpha;7;-;38;36;epsilon;
S001;395;alpha;1;+;39;107;beta;
S001;403;alpha;8;-;40;62;;
S001;407;alpha;4;+;41;116;;
S001;408;alpha;1;-;42;18;epsilon;
S001;409;epsilon;77;-;22;26;;
S001;410;epsilon;1;+;23;7;;
S001;411;epsilon;1;-;24;71;;
S001;422;alpha;14;+;43;36;epsilon;
S001;422;epsilon;11;+;25;126;;
S001;423;alpha;1;-;44;107;beta;
S001;423;epsilon;1;-;26;118;;
S001;428;gamma;93;-;24;116;;
S001;431;gamma;3;+;25;20;beta;
S001;432;gamma;1;-;26;74;;
S001;441;beta;106;-;24;70;;delta
S001;441;delta;90;-;2;11;;
S001;444;delta;3;+;3;113;;
S001;447;delta;3;-;4;117;;
S001;448;delta;1;+;5;28;;
S001;452;alpha;29;+;45;61;;
S001;452;beta;11;+;25;26;;
S001;459;alpha;7;-;46;109;epsilon;
S001;459;beta;7;-;26;13;;
S001;460;alpha;1;+;47;75;;
S001;462;alpha;2;-;48;117;;
S001;465;alpha;3;+;49;30;;
S001;467;beta;8;+;27;11;;
S001;468;epsilon;45;+;27;34;;
S001;469;epsilon;1;-;28;87;;
S001;470;beta;3;-;28;113;;
S001;471;alpha;6;-;50;52;;
S001;471;delta;23;-;6;29;;
S001;509;alpha;38;+;51;31;;
S001;510;alpha;1;-;52;57;;
S001;530;alpha;20;+;53;5;;beta
S001;534;alpha;4;-;54;54;;
S001;535;alpha;1;+;55;33;;
S001;539;epsilon;70;+;29;7;;
S001;540;epsilon;1;-;30;71;;
S001;544;alpha;9;-;56;85;;
S001;551;alpha;7;+;57;95;;
S001;554;alpha;3;-;58;64;;
S001;555;alpha;1;+;59;6;;
S001;556;alpha;1;-;60;61;;
S001;565;alpha;9;+;61;111;;
S001;565;epsilon;25;+;31;13;;
S001;567;alpha;2;-;62;96;;
S001;567;epsilon;2;-;32;5;;
S001;568;alpha;1;+;63;72;;
S001;568;epsilon;1;+;33;51;;
S001;576;alpha;8;-;64;93;;
S001;576;epsilon;8;-;34;10;;
S001;580;alpha;4;+;65;45;;
S001;580;epsilon;4;+;35;104;;
S001;581;alpha;1;-;66;70;;
S001;581;epsilon;1;-;36;25;;
S001;582;alpha;1;+;67;66;;
S001;582;epsilon;1;+;37;124;;
S001;585;gamma;153;+;27;112;;
S001;586;gamma;1;-;28;105;;
S001;587;alpha;5;-;68;30;;
S001;587;epsilon;5;-;38;102;;
S001;595;epsilon;8;+;39;12;;
S001;597;epsilon;2;-;40;122;;
S001;598;alpha;11;+;69;90;;
S001;598;epsilon;1;+;41;78;;
S001;599;gamma;13;+;29;99;;
S001;605;gamma;6;-;30;107;beta;
S001;606;alpha;8;-;70;19;gamma;
S001;606;epsilon;8;-;42;26;;
S001;607;epsilon;1;+;43;7;;
S001;608;alpha;2;+;71;65;;
S001;608;gamma;3;+;31;57;;
S001;616;alpha;8;-;72;23;;
S001;616;epsilon;9;-;44;79;;
S001;617;epsilon;1;+;45;29;;
S001;618;alpha;2;+;73;105;;
S001;619;alpha;1;-;74;35;;
S001;619;epsilon;2;-;46;38;;
S001;620;alpha;1;+;75;97;;
S001;620;epsilon;1;+;47;0;;
S001;621;alpha;1;-;76;82;;
S001;622;alpha;1;+;77;59;alpha;
S001;624;alpha;2;-;78;84;delta;
S001;624;epsilon;4;-;48;4;;
S001;625;epsilon;1;+;49;41;;
S001;626;epsilon;1;-;50;30;;
S001;627;gamma;19;-;32;4;;gamma
S001;628;epsilon;2;+;51;48;;
S001;628;gamma;1;+;33;41;;
S001;629;epsilon;1;-;52;100;gamma;
S001;630;alpha;6;+;79;84;delta;
S001;630;epsilon;1;+;53;112;;
S001;631;alpha;1;-;80;79;;
S001;631;epsilon;1;-;54;105;;
S001;631;gamma;3;-;34;32;;
S001;639;alpha;8;+;81;36;epsilon;
S001;639;epsilon;8;+;55;42;;
S001;639;gamma;8;+;35;74;;
S001;645;alpha;6;-;82;112;;
S001;645;epsilon;6;-;56;45;;
S001;645;gamma;6;-;36;111;;
S001;654;alpha;9;+;83;113;;
S001;654;epsilon;9;+;57;78;;
S001;654;gamma;9;+;37;103;;
S001;654;beta;184;+;29;27;gamma;
S001;656;beta;2;-;30;18;epsilon;
S001;658;beta;2;+;31;55;;
S001;666;alpha;12;-;84;9;;
S001;666;epsilon;12;-;58;65;;
S001;666;gamma;12;-;38;25;;
S001;666;beta;8;-;32;50;;
S001;667;alpha;1;+;85;91;epsilon;
S001;667;epsilon;1;+;59;16;;
S001;667;gamma;1;+;39;124;;
S001;667;beta;1;+;33;120;;
S001;668;alpha;1;-;86;22;;
S001;668;epsilon;1;-;60;34;;
S001;668;gamma;1;-;40;98;;
S001;669;alpha;1;+;87;94;;
S001;670;epsilon;2;+;61;88;;
S001;670;gamma;2;+;41;93;;
S001;673;alpha;4;-;88;55;;
S001;673;epsilon;3;-;62;121;;
S001;673;gamma;3;-;42;44;;
S001;674;alpha;1;+;89;43;delta;
S001;674;epsilon;1;+;63;68;alpha;
S001;674;gamma;1;+;43;60;;
S001;676;alpha;2;-;90;51;;
S001;676;gamma;2;-;44;94;;
S001;677;alpha;1;+;91;3;;
S001;677;gamma;1;+;45;52;;
S001;679;alpha;2;-;92;32;;
S001;679;epsilon;5;-;64;50;;
S001;679;gamma;2;-;46;14;;
S001;679;beta;12;-;34;74;;
S001;680;alpha;1;+;93;67;;
S001;680;epsilon;1;+;65;120;;
S001;680;gamma;1;+;47;14;;
S001;680;beta;1;+;35;106;delta;
S001;686;alpha;6;-;94;41;;
S001;687;alpha;1;+;95;30;;
S001;688;alpha;1;-;96;47;;
S001;688;epsilon;8;-;66;65;;
S001;688;gamma;8;-;48;21;delta;
S001;688;beta;8;-;36;52;;
S001;704;alpha;16;+;97;17;alpha;
S001;704;epsilon;16;+;67;39;;
S001;704;gamma;16;+;49;84;delta;
S001;704;beta;16;+;37;9;;
S001;725;alpha;21;-;98;70;;delta
S001;727;alpha;2;+;99;67;;
S001;730;alpha;3;-;100;38;;
S001;733;alpha;3;+;101;2;;
S001;737;delta;266;+;7;56;;
S001;741;delta;4;-;8;56;;
S001;745;alpha;12;-;102;85;;
S001;745;epsilon;41;-;68;4;;
S001;748;epsilon;3;+;69;43;delta;
S001;749;epsilon;1;-;70;50;;
S001;750;gamma;46;-;50;64;;
S001;750;beta;46;-;38;57;;
S001;780;alpha;35;+;103;26;;
S001;787;alpha;7;-;104;13;;
S001;788;alpha;1;+;105;4;;
S001;790;alpha;2;-;106;42;;
S001;830;alpha;40;+;107;49;;
S001;831;alpha;1;-;108;110;alpha;
S001;832;alpha;1;+;109;85;;
S001;839;epsilon;90;+;71;10;;
S001;843;epsilon;4;-;72;104;;
S001;845;alpha;13;-;110;4;;
S001;852;alpha;7;+;111;47;;
S001;852;epsilon;9;+;73;33;;
S001;855;alpha;3;-;112;92;;
S001;855;epsilon;3;-;74;79;;
S001;857;alpha;2;+;113;33;;
S001;857;epsilon;2;+;75;30;;
S001;859;alpha;2;-;114;78;;
S001;859;epsilon;2;-;76;48;;
S001;860;alpha;1;+;115;19;gamma;
S001;860;epsilon;1;+;77;100;gamma;
S001;866;alpha;6;-;116;69;;
S001;866;epsilon;6;-;78;117;;
S001;873;alpha;7;+;117;62;;
S001;873;epsilon;7;+;79;34;;
S001;877;gamma;127;+;51;119;;
S001;878;gamma;1;-;52;48;;
S001;880;gamma;2;+;53;101;;
S001;883;gamma;3;-;54;124;;
S001;885;alpha;12;-;118;116;;
S001;885;epsilon;12;-;80;110;alpha;
S001;886;alpha;1;+;119;18;epsilon;
S001;886;epsilon;1;+;81;85;;
S001;886;gamma;3;+;55;100;gamma;
S001;887;gamma;1;-;56;112;;
S001;888;alpha;2;-;120;55;;
S001;888;epsilon;2;-;82;90;;
S001;897;epsilon;9;+;83;20;beta;
S001;898;alpha;10;+;121;49;;
S001;898;gamma;11;+;57;35;;
S001;901;beta;151;+;39;1;;
S001;903;beta;2;-;40;12;;
S001;909;beta;6;+;41;126;;
S001;915;beta;6;-;42;123;;
S001;916;beta;1;+;43;88;;
S001;922;alpha;24;-;122;98;;
S001;923;beta;7;-;44;125;;
S001;925;epsilon;28;-;84;123;;
S001;926;epsilon;1;+;85;88;;
S001;926;beta;3;+;45;110;alpha;
S001;929;alpha;7;+;123;98;;
S001;937;alpha;8;-;124;99;;
S001;941;epsilon;15;-;86;52;;
S001;942;gamma;44;-;58;115;;
S001;942;beta;16;-;46;94;;
S001;946;gamma;4;+;59;11;;
S001;947;gamma;1;-;60;111;;
S001;949;gamma;2;+;61;96;;
S001;949;beta;7;+;47;58;;
S001;952;alpha;15;+;125;9;;
S001;954;alpha;2;-;126;92;;
S001;957;gamma;8;-;62;79;;
S001;957;beta;8;-;48;80;;
S001;959;gamma;2;+;63;30;;
S001;959;beta;2;+;49;40;;
S001;960;alpha;6;+;127;37;;
S001;964;alpha;4;-;128;120;;
S001;964;gamma;5;-;64;51;;
S001;966;alpha;2;+;129;59;alpha;
S001;966;epsilon;25;+;87;18;epsilon;
S001;966;gamma;2;+;65;4;;
S001;978;delta;237;+;9;103;;
S001;1016;alpha;50;-;130;108;gamma;
S001;1020;alpha;4;+;131;68;alpha;
S001;1078;alpha;58;-;132;0;;
S001;1080;alpha;2;+;133;2;;
S001;1092;alpha;12;-;134;85;;
S001;1097;epsilon;131;-;88;97;;
S001;1110;alpha;18;+;135;9;;epsilon
S001;1111;epsilon;14;+;89;62;;
S001;1114;epsilon;3;-;90;115;;
S001;1115;epsilon;1;+;91;8;;
S001;1117;epsilon;2;-;92;82;;
S001;1118;alpha;8;-;136;98;;
S001;1120;alpha;2;+;137;93;;
S001;1121;alpha;1;-;138;42;;
S001;1123;alpha;2;+;139;41;;
S001;1125;alpha;2;-;140;31;;
S001;1126;alpha;1;+;141;57;;
S001;1128;alpha;2;-;142;64;;
S001;1130;gamma;164;-;66;100;gamma;
S001;1133;gamma;3;+;67;114;;
S001;1134;gamma;1;-;68;125;;
S001;1137;gamma;3;+;69;110;alpha;
S001;1138;gamma;1;-;70;85;;
S001;1141;alpha;13;+;143;63;;
S001;1141;epsilon;24;+;93;96;;
S001;1141;gamma;3;+;71;91;epsilon;
S001;1156;alpha;15;-;144;92;;
S001;1156;gamma;15;-;72;98;;
S001;1157;alpha;1;+;145;32;;
S001;1157;gamma;1;+;73;92;;
S001;1159;alpha;2;-;146;68;alpha;
S001;1159;gamma;2;-;74;33;;
S001;1160;alpha;1;+;147;46;;
S001;1160;gamma;1;+;75;77;;
S001;1164;alpha;4;-;148;83;;
S001;1165;alpha;1;+;149;69;;
S001;1170;alpha;5;-;150;60;;
S001;1171;alpha;1;+;151;93;;
S001;1173;alpha;2;-;152;43;delta;
S001;1174;alpha;1;+;153;50;;
S001;1198;alpha;24;-;154;71;;
S001;1200;epsilon;59;-;94;7;;alpha
S001;1202;epsilon;2;+;95;72;;
S001;1204;alpha;6;+;155;81;;
S001;1205;alpha;1;-;156;49;;
S001;1206;alpha;1;+;157;110;alpha;
S001;1208;alpha;2;-;158;86;;
S001;1209;alpha;1;+;159;99;;
S001;1320;alpha;49;-;160;43;delta;
S001;1321;alpha;1;+;161;50;;
S001;1322;alpha;1;-;162;120;;
S001;1323;epsilon;59;-;96;20;beta;alpha
S001;1332;alpha;10;+;163;72;;
S001;1332;epsilon;9;+;97;82;;
S001;1337;alpha;5;-;164;90;;
S001;1337;epsilon;5;-;98;63;;
S001;1339;epsilon;2;+;99;124;;
S001;1340;alpha;3;+;165;14;;
S001;1341;alpha;1;-;166;14;;
S001;1341;epsilon;2;-;100;99;;
S001;1343;alpha;2;+;167;15;;
S001;1343;epsilon;2;+;101;103;;
S001;1355;alpha;12;-;168;115;;
S001;1356;epsilon;13;-;102;26;;
S001;1363;gamma;141;-;76;52;;
S001;1365;gamma;2;+;77;14;;
S001;1370;gamma;5;-;78;18;epsilon;
S001;1379;alpha;24;+;169;94;;
S001;1380;alpha;1;-;170;52;;
S001;1382;beta;361;-;50;102;;
S001;1394;alpha;14;+;171;7;;
S001;1394;beta;12;+;51;52;;
S001;1397;alpha;3;-;172;73;;
S001;1397;beta;3;-;52;15;;
S001;1398;alpha;1;+;173;96;;
S001;1398;beta;1;+;53;24;;
S001;1401;alpha;3;-;174;74;;
S001;1401;beta;3;-;54;116;;
S001;1402;alpha;1;+;175;106;delta;
S001;1402;beta;1;+;55;18;epsilon;
S001;1403;beta;1;-;56;54;;
S001;1404;alpha;2;-;176;46;;
S001;1420;alpha;16;+;177;44;;
S001;1420;epsilon;64;+;103;124;;
S001;1422;alpha;2;-;178;61;;
S001;1422;epsilon;2;-;104;99;;
S001;1426;alpha;4;+;179;106;delta;
S001;1427;epsilon;5;+;105;106;delta;
S001;1428;alpha;2;-;180;46;;
S001;1428;epsilon;1;-;106;45;;
S001;1438;alpha;10;+;181;38;;
S002;1;alpha;1;+;1;1;;
S002;3;epsilon;3;+;1;3;;
S002;4;epsilon;1;-;2;31;;
S002;6;alpha;5;-;2;15;;
S002;7;alpha;1;+;3;24;;
S002;9;alpha;2;-;4;115;;
S002;11;alpha;2;+;5;9;;
S002;11;epsilon;7;+;3;63;;
S002;14;gamma;14;+;1;14;;
S002;15;gamma;1;-;2;14;;
S002;16;gamma;1;+;3;14;;
S002;17;beta;17;+;1;17;alpha;alpha
S002;36;alpha;25;-;6;36;epsilon;
S002;52;epsilon;41;-;4;118;;
S002;52;beta;35;-;2;84;delta;
S002;55;gamma;39;-;4;42;;
S002;58;delta;58;-;1;58;;
S002;66;delta;8;+;2;80;;
S002;68;delta;2;-;3;40;;
S002;79;alpha;43;+;7;87;;delta
S002;80;alpha;1;-;8;109;epsilon;
S002;81;alpha;1;+;9;75;;
S002;81;delta;13;+;4;76;;
S002;82;delta;1;-;5;126;;
S002;85;alpha;4;-;10;119;;
S002;89;alpha;4;+;11;51;;
S002;92;epsilon;40;+;5;29;;
S002;92;delta;10;+;6;37;;
S002;93;gamma;38;+;5;47;;
S002;94;gamma;1;-;6;90;;
S002;95;gamma;1;+;7;12;;
S002;95;beta;43;+;3;61;;delta
S002;97;gamma;2;-;8;122;;
S002;97;beta;2;-;4;104;;
S002;97;delta;5;-;7;121;;
S002;101;gamma;4;+;9;81;;
S002;101;beta;4;+;5;28;;
S002;101;delta;4;+;8;71;;
S002;106;gamma;5;-;10;53;;
S002;106;beta;5;-;6;31;;
S002;107;alpha;18;-;12;38;;epsilon
S002;107;delta;6;-;9;81;;
S002;108;alpha;1;+;13;0;;
S002;108;delta;1;+;10;49;;
S002;109;alpha;1;-;14;1;;
S002;109;delta;1;-;11;110;alpha;
S002;110;alpha;1;+;15;11;;
S002;110;delta;1;+;12;85;;
S002;111;gamma;5;+;11;27;gamma;
S002;111;beta;5;+;7;61;;
S002;142;alpha;32;-;16;116;;
S002;144;alpha;2;+;17;19;gamma;
S002;146;alpha;2;-;18;65;;
S002;150;epsilon;58;-;6;37;;
S002;150;beta;39;-;8;43;delta;
S002;151;gamma;40;-;12;73;;
S002;151;delta;41;-;13;32;;
S002;158;gamma;7;+;13;102;;
S002;158;beta;8;+;9;57;;
S002;158;delta;7;+;14;73;;
S002;160;alpha;14;+;19;37;;
S002;160;epsilon;10;+;7;27;gamma;
S002;166;epsilon;6;-;8;22;;
S002;169;epsilon;3;+;9;96;;
S002;170;epsilon;1;-;10;72;;
S002;171;alpha;11;-;20;28;;
S002;172;beta;14;-;10;126;;
S002;173;gamma;15;-;14;55;;
S002;173;delta;15;-;15;76;;
S002;197;alpha;26;+;21;32;;
S002;204;alpha;7;-;22;73;;
S002;243;alpha;39;+;23;100;gamma;
S002;251;epsilon;81;+;11;42;;
S002;255;epsilon;4;-;12;43;delta;
S002;256;epsilon;1;+;13;50;;
S002;267;gamma;94;+;15;6;;
S002;271;gamma;4;-;16;64;;
S002;274;gamma;3;+;17;8;;
S002;275;gamma;1;-;18;81;;
S002;276;gamma;1;+;19;49;;
S002;280;alpha;37;-;24;4;;
S002;280;gamma;4;-;20;113;;
S002;281;alpha;1;+;25;41;;
S002;281;gamma;1;+;21;115;;
S002;295;alpha;14;-;26;50;;
S002;296;alpha;1;+;27;120;;
S002;301;alpha;5;-;28;62;;
S002;303;epsilon;47;-;14;94;;
S002;303;gamma;22;-;22;92;;
S002;304;gamma;1;+;23;32;;
S002;305;gamma;1;-;24;67;;
S002;317;gamma;12;+;25;108;gamma;
S002;318;gamma;1;-;26;65;;
S002;320;gamma;2;+;27;17;alpha;
S002;323;gamma;3;-;28;46;;
S002;324;alpha;23;+;29;0;;
S002;324;gamma;1;+;29;80;;
S002;328;alpha;4;-;30;4;;
S002;328;gamma;4;-;30;42;;
S002;332;alpha;4;+;31;44;;
S002;332;epsilon;29;+;15;31;;
S002;332;gamma;4;+;31;43;delta;
S002;332;beta;160;+;11;49;;
S002;339;delta;166;+;16;93;;
S002;347;delta;8;-;17;49;;
S002;349;delta;2;+;18;111;;
S002;351;delta;2;-;19;96;;
S002;357;delta;6;+;20;77;;
S002;371;alpha;39;-;32;121;;
S002;372;delta;15;-;21;95;;
S002;374;delta;2;+;22;63;;
S002;375;alpha;4;+;33;71;;
S002;380;alpha;5;-;34;80;;
S002;382;alpha;2;+;35;40;;
S002;388;alpha;6;-;36;25;;
S002;389;alpha;1;+;37;124;;
S002;391;alpha;2;-;38;99;;
S002;394;epsilon;62;-;16;114;;
S002;396;delta;22;-;23;99;;
S002;398;delta;2;+;24;103;;
S002;400;alpha;9;+;39;110;alpha;
S002;400;epsilon;6;+;17;3;;
S002;405;alpha;5;-;40;89;;
S002;406;epsilon;6;-;18;36;epsilon;
S002;407;epsilon;1;+;19;107;beta;
S002;408;epsilon;1;-;20;55;;
S002;411;delta;13;-;25;26;;
S002;415;gamma;83;-;32;65;;
S002;416;beta;84;-;12;31;;delta
S002;442;alpha;37;+;41;47;;
S002;446;alpha;4;-;42;93;;
S002;455;alpha;9;+;43;50;;
S002;456;alpha;1;-;44;120;;
S002;457;alpha;1;+;45;58;;
S002;458;alpha;1;-;46;73;;
S002;464;alpha;6;+;47;101;;
S002;466;alpha;2;-;48;123;;
S002;469;alpha;3;+;49;90;;
S002;470;alpha;1;-;50;12;;
S002;518;alpha;48;+;51;105;;
S002;519;alpha;1;-;52;35;;
S002;521;alpha;2;+;53;98;;
S002;522;alpha;1;-;54;92;;
S002;530;alpha;8;+;55;39;;
S002;531;alpha;1;-;56;10;;
S002;556;alpha;25;+;57;9;;
S002;559;epsilon;151;+;21;33;;
S002;569;gamma;154;+;33;3;;
S002;570;gamma;1;-;34;31;;
S002;573;alpha;17;-;58;28;;alpha
S002;573;epsilon;14;-;22;12;;
S002;583;epsilon;10;+;23;67;;
S002;584;alpha;11;+;59;17;alpha;
S002;585;gamma;15;+;35;67;;
S002;587;gamma;2;-;36;37;;
S002;589;alpha;5;-;60;48;;
S002;590;epsilon;7;-;24;42;;
S002;601;alpha;12;+;61;113;;
S002;603;epsilon;13;+;25;22;;
S002;604;epsilon;1;-;26;94;;
S002;605;alpha;4;-;62;118;;
S002;611;alpha;6;+;63;43;delta;
S002;612;alpha;1;-;64;50;;
S002;615;alpha;3;+;65;122;;
S002;620;epsilon;16;+;27;18;epsilon;
S002;621;alpha;6;-;66;83;;
S002;621;epsilon;1;-;28;54;;
S002;622;alpha;1;+;67;69;;
S002;623;alpha;1;-;68;56;;
S002;627;alpha;4;+;69;56;;
S002;627;epsilon;6;+;29;38;;
S002;628;epsilon;1;-;30;0;;
S002;629;epsilon;1;+;31;1;;
S002;629;gamma;42;+;37;59;alpha;
S002;630;gamma;1;-;38;83;;
S002;631;gamma;1;+;39;69;;
S002;632;gamma;1;-;40;56;;
S002;633;gamma;1;+;41;53;;
S002;637;alpha;10;-;70;22;;
S002;637;epsilon;8;-;32;18;epsilon;
S002;637;gamma;4;-;42;26;;
S002;638;alpha;1;+;71;94;;
S002;638;epsilon;1;+;33;54;;
S002;639;alpha;1;-;72;52;;
S002;639;epsilon;1;-;34;33;;
S002;640;alpha;1;+;73;13;;
S002;640;epsilon;1;+;35;77;;
S002;641;alpha;1;-;74;4;;
S002;642;epsilon;2;-;36;10;;
S002;664;alpha;23;+;75;42;;
S002;664;epsilon;22;+;37;6;;
S002;664;gamma;27;+;43;87;;gamma
S002;664;beta;248;+;13;6;;
S002;665;beta;1;-;14;61;;
S002;666;beta;1;+;15;103;;
S002;688;alpha;24;-;76;33;;
S002;690;alpha;2;+;77;78;;
S002;705;alpha;15;-;78;68;alpha;
S002;708;alpha;3;+;79;48;;
S002;710;alpha;2;-;80;101;;
S002;711;alpha;1;+;81;122;;
S002;714;alpha;3;-;82;80;;
S002;716;alpha;2;+;83;40;;
S002;717;alpha;1;-;84;20;beta;
S002;717;epsilon;53;-;38;18;epsilon;
S002;718;alpha;1;+;85;74;;
S002;718;epsilon;1;+;39;54;;
S002;719;alpha;1;-;86;106;delta;
S002;719;epsilon;1;-;40;33;;
S002;720;epsilon;1;+;41;77;;
S002;721;epsilon;1;-;42;9;;
S002;724;alpha;5;+;87;49;;
S002;724;epsilon;3;+;43;93;;
S002;726;alpha;2;-;88;111;;
S002;726;epsilon;2;-;44;43;delta;
S002;728;gamma;64;-;44;1;;
S002;728;beta;62;-;16;75;;
S002;729;beta;1;+;17;116;;
S002;730;beta;1;-;18;18;epsilon;
S002;732;beta;2;+;19;55;;
S002;734;beta;2;-;20;44;;
S002;736;beta;2;+;21;61;;
S002;738;alpha;12;+;89;63;;
S002;738;gamma;10;+;45;110;alpha;
S002;739;alpha;1;-;90;123;;
S002;740;alpha;1;+;91;88;;
S002;740;epsilon;14;+;45;123;;
S002;742;epsilon;2;-;46;89;;
S002;743;alpha;3;-;92;121;;
S002;744;gamma;6;-;46;90;;
S002;745;alpha;2;+;93;69;;
S002;745;gamma;1;+;47;12;;
S002;747;epsilon;5;+;47;6;;
S002;748;epsilon;1;-;48;61;;
S002;749;alpha;4;-;94;59;alpha;
S002;749;gamma;4;-;48;124;;
S002;749;beta;13;-;22;17;alpha;
S002;756;beta;7;+;23;50;;
S002;757;beta;1;-;24;120;;
S002;784;alpha;35;+;95;93;;
S002;787;epsilon;39;+;49;43;delta;
S002;789;gamma;40;+;49;121;;
S002;789;beta;32;+;25;94;;
S002;791;gamma;2;-;50;69;;
S002;791;beta;2;-;26;53;;
S002;795;gamma;4;+;51;59;alpha;
S002;795;beta;4;+;27;26;;
S002;801;delta;390;+;26;101;;
S002;811;delta;10;-;27;77;;
S002;812;delta;1;+;28;9;;
S002;817;alpha;33;-;96;62;;
S002;818;alpha;1;+;97;113;;
S002;822;alpha;4;-;98;118;;
S002;825;alpha;3;+;99;40;;
S002;828;alpha;3;-;100;22;;
S002;831;alpha;3;+;101;96;;
S002;832;alpha;1;-;102;72;;
S002;833;alpha;1;+;103;86;;
S002;840;alpha;7;-;104;105;;
S002;841;alpha;1;+;105;35;;
S002;844;alpha;3;-;106;99;;
S002;844;epsilon;57;-;50;39;;
S002;845;alpha;1;+;107;102;;
S002;845;epsilon;1;+;51;10;;
S002;848;alpha;3;-;108;7;;
S002;848;epsilon;3;-;52;103;;
S002;849;alpha;1;+;109;71;;
S002;849;epsilon;1;+;53;15;;
S002;879;alpha;30;-;110;18;epsilon;
S002;895;alpha;16;+;111;38;;
S002;896;alpha;1;-;112;0;;
S002;898;alpha;2;+;113;2;;
S002;899;alpha;1;-;114;21;delta;
S002;900;alpha;1;+;115;84;delta;
S002;902;alpha;2;-;116;80;;
S002;902;epsilon;53;-;54;29;;
S002;903;alpha;1;+;117;39;;
S002;903;epsilon;1;+;55;37;;
S002;905;alpha;2;-;118;11;;
